country_region_code,country_region,sub_region_1,sub_region_2,metro_area,iso_3166_2_code,census_fips_code,place_id,date,retail_and_recreation_percent_change_from_baseline,grocery_and_pharmacy_percent_change_from_baseline,parks_percent_change_from_baseline,transit_stations_percent_change_from_baseline,workplaces_percent_change_from_baseline,residential_percent_change_from_baseline
US,United States,Washington,King County,,,53033.0,ChIJN3gtg4xckFQRPuBki2urgOI,2020-02-15,-1.0,-2.0,11.0,8.0,-3.0,0.0
US,United States,Washington,King County,,,53033.0,ChIJN3gtg4xckFQRPuBki2urgOI,2020-02-16,13.0,1.0,19.0,3.0,-2.0,-1.0
US,United States,Washington,King County,,,53033.0,ChIJN3gtg4xckFQRPuBki2urgOI,2020-02-17,10.0,4.0,64.0,-13.0,-40.0,7.0
US,United States,Washington,King County,,,53033.0,ChIJN3gtg4xckFQRPuBki2urgOI,2020-02-18,4.0,2.0,51.0,6.0,-8.0,1.0
US,United States,Washington,King County,,,53033.0,ChIJN3gtg4xckFQRPuBki2urgOI,2020-02-19,2.0,2.0,62.0,6.0,-7.0,0.0
US,United States,Washington,King County,,,53033.0,ChIJN3gtg4xckFQRPuBki2urgOI,2020-02-20,3.0,1.0,53.0,2.0,-6.0,0.0
US,United States,Washington,King County,,,53033.0,ChIJN3gtg4xckFQRPuBki2urgOI,2020-02-21,1.0,-4.0,51.0,1.0,-7.0,1.0
US,United States,Washington,King County,,,53033.0,ChIJN3gtg4xckFQRPuBki2urgOI,2020-02-22,0.0,-5.0,34.0,8.0,-1.0,-1.0
US,United States,Washington,King County,,,53033.0,ChIJN3gtg4xckFQRPuBki2urgOI,2020-02-23,7.0,-2.0,0.0,2.0,1.0,0.0
US,United States,Washington,King County,,,53033.0,ChIJN3gtg4xckFQRPuBki2urgOI,2020-02-24,0.0,-2.0,16.0,2.0,4.0,-1.0
US,United States,Washington,King County,,,53033.0,ChIJN3gtg4xckFQRPuBki2urgOI,2020-02-25,4.0,1.0,37.0,3.0,1.0,0.0
US,United States,Washington,King County,,,53033.0,ChIJN3gtg4xckFQRPuBki2urgOI,2020-02-26,5.0,2.0,45.0,5.0,1.0,-1.0
US,United States,Washington,King County,,,53033.0,ChIJN3gtg4xckFQRPuBki2urgOI,2020-02-27,8.0,1.0,57.0,7.0,2.0,-1.0
US,United States,Washington,King County,,,53033.0,ChIJN3gtg4xckFQRPuBki2urgOI,2020-02-28,3.0,1.0,21.0,4.0,1.0,0.0
US,United States,Washington,King County,,,53033.0,ChIJN3gtg4xckFQRPuBki2urgOI,2020-02-29,1.0,6.0,33.0,3.0,1.0,-1.0
US,United States,Washington,King County,,,53033.0,ChIJN3gtg4xckFQRPuBki2urgOI,2020-03-01,12.0,6.0,35.0,7.0,1.0,0.0
US,United States,Washington,King County,,,53033.0,ChIJN3gtg4xckFQRPuBki2urgOI,2020-03-02,-3.0,9.0,-12.0,-6.0,0.0,1.0
US,United States,Washington,King County,,,53033.0,ChIJN3gtg4xckFQRPuBki2urgOI,2020-03-03,-1.0,10.0,15.0,-8.0,-5.0,3.0
US,United States,Washington,King County,,,53033.0,ChIJN3gtg4xckFQRPuBki2urgOI,2020-03-04,-2.0,6.0,52.0,-9.0,-8.0,3.0
US,United States,Washington,King County,,,53033.0,ChIJN3gtg4xckFQRPuBki2urgOI,2020-03-05,-5.0,5.0,14.0,-16.0,-16.0,7.0
US,United States,Washington,King County,,,53033.0,ChIJN3gtg4xckFQRPuBki2urgOI,2020-03-06,-11.0,-1.0,-5.0,-21.0,-22.0,9.0
