country_region_code,country_region,sub_region_1,sub_region_2,metro_area,iso_3166_2_code,census_fips_code,place_id,date,retail_and_recreation_percent_change_from_baseline,grocery_and_pharmacy_percent_change_from_baseline,parks_percent_change_from_baseline,transit_stations_percent_change_from_baseline,workplaces_percent_change_from_baseline,residential_percent_change_from_baseline
US,United States,Washington,King County,,,53033.0,ChIJN3gtg4xckFQRPuBki2urgOI,2021-01-01,-60.0,-41.0,-20.0,-74.0,-81.0,31.0
US,United States,Washington,King County,,,53033.0,ChIJN3gtg4xckFQRPuBki2urgOI,2021-01-02,-48.0,-29.0,-49.0,-48.0,-26.0,13.0
US,United States,Washington,King County,,,53033.0,ChIJN3gtg4xckFQRPuBki2urgOI,2021-01-03,-40.0,-27.0,-23.0,-44.0,-17.0,10.0
US,United States,Washington,King County,,,53033.0,ChIJN3gtg4xckFQRPuBki2urgOI,2021-01-04,-39.0,-21.0,-36.0,-60.0,-55.0,21.0
US,United States,Washington,King County,,,53033.0,ChIJN3gtg4xckFQRPuBki2urgOI,2021-01-05,-39.0,-20.0,-30.0,-61.0,-56.0,23.0
US,United States,Washington,King County,,,53033.0,ChIJN3gtg4xckFQRPuBki2urgOI,2021-01-06,-39.0,-20.0,3.0,-62.0,-55.0,22.0
US,United States,Washington,King County,,,53033.0,ChIJN3gtg4xckFQRPuBki2urgOI,2021-01-07,-40.0,-20.0,-4.0,-63.0,-55.0,22.0
US,United States,Washington,King County,,,53033.0,ChIJN3gtg4xckFQRPuBki2urgOI,2021-01-08,-42.0,-21.0,-31.0,-64.0,-54.0,23.0
US,United States,Washington,King County,,,53033.0,ChIJN3gtg4xckFQRPuBki2urgOI,2021-01-09,-44.0,-23.0,3.0,-52.0,-19.0,10.0
US,United States,Washington,King County,,,53033.0,ChIJN3gtg4xckFQRPuBki2urgOI,2021-01-10,-34.0,-23.0,-8.0,-53.0,-16.0,9.0
US,United States,Washington,King County,,,53033.0,ChIJN3gtg4xckFQRPuBki2urgOI,2021-01-11,-43.0,-26.0,-44.0,-66.0,-55.0,21.0
US,United States,Washington,King County,,,53033.0,ChIJN3gtg4xckFQRPuBki2urgOI,2021-01-12,-40.0,-22.0,-25.0,-65.0,-56.0,23.0
US,United States,Washington,King County,,,53033.0,ChIJN3gtg4xckFQRPuBki2urgOI,2021-01-13,-32.0,-18.0,25.0,-63.0,-56.0,19.0
US,United States,Washington,King County,,,53033.0,ChIJN3gtg4xckFQRPuBki2urgOI,2021-01-14,-39.0,-21.0,6.0,-63.0,-55.0,20.0
US,United States,Washington,King County,,,53033.0,ChIJN3gtg4xckFQRPuBki2urgOI,2021-01-15,-40.0,-20.0,-4.0,-62.0,-54.0,21.0
